unnamed,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31,company,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,unnamed_27,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33,unnamed_34,unnamed_35,unnamed_36,unnamed_37,unnamed_38,unnamed_39,unnamed_40,unnamed_41,unnamed_42,unnamed_43,unnamed_44,unnamed_45,unnamed_46,unnamed_47,unnamed_48,unnamed_49,unnamed_50,unnamed_51,unnamed_52,unnamed_53,unnamed_54,unnamed_55
Net Interest Income,-548900000.0,-1040000000.0,-39500000.0,54100000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,3523100000.0,4403900000.0,2680900000.0,1289500000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,3290800000.0,3532400000.0,2857600000.0,1458900000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,36284055320.0,35491254480.0,33810268950.0,19354176670.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,35047500000.0,34858800000.0,31729700000.0,19275000000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,281918700000.0,263300700000.0,242629700000.0,220795300000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rent Expense Supplemental,566000000.0,713400000.0,1204200000.0,1337600000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,580801623.0,582870491.0,585938609.0,585938609.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,580801623.0,582870491.0,585938609.0,585938609.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,60.34,59.81,54.16,32.9,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,60.34,59.81,54.16,32.9,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,35047500000.0,34858800000.0,31729700000.0,19275000000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,35047500000.0,34858800000.0,31729700000.0,19275000000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,35047500000.0,34858800000.0,31729700000.0,19275000000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interests,17800000.0,23100000.0,40000000.0,-1500000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,35029700000.0,34835700000.0,31689700000.0,19276500000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,35029700000.0,34835700000.0,31689700000.0,19276500000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,16088800000.0,15827200000.0,12110200000.0,6848500000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,51118500000.0,50662900000.0,43799900000.0,26125000000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Non Operating Income Expenses,1591700000.0,2318500000.0,2057200000.0,1288400000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,-1804400000.0,-919800000.0,-2875700000.0,-107300000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Special Charges,896300000.0,89400000.0,-1032700000.0,-132300000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Write Off,415100000.0,134000000.0,2298100000.0,0.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impairment Of Capital Assets,493000000.0,696400000.0,623700000.0,239600000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,0.0,986600000.0,0.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-548900000.0,-1040000000.0,-39500000.0,54100000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Other Finance Cost,316600000.0,168500000.0,216200000.0,115300000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,3523100000.0,4403900000.0,2680900000.0,1289500000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income Non Operating,3290800000.0,3532400000.0,2857600000.0,1458900000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,51928700000.0,50480600000.0,44415300000.0,25376000000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expense,138669400000.0,125885500000.0,110267600000.0,101798300000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,37445800000.0,36390300000.0,32089100000.0,31288000000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,17606500000.0,15912000000.0,14919100000.0,12445800000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization,4238500000.0,4630300000.0,5737700000.0,4112900000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation Income Statement,13368000000.0,11281700000.0,9181400000.0,8332900000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research And Development,1554500000.0,951000000.0,756300000.0,395100000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling General And Administration,32247900000.0,,25024100000.0,23481700000.0,21770200000.0,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling And Marketing Expense,22549300000.0,21850600000.0,16847200000.0,16857600000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General And Administrative Expense,9698600000.0,8735800000.0,8176900000.0,6624100000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rent And Landing Fees,566000000.0,713400000.0,1204200000.0,1337600000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,190598100000.0,176366100000.0,154682900000.0,127174300000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Of Revenue,143249300000.0,137415200000.0,132362100000.0,118997000000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,333847400000.0,313781300000.0,287045000000.0,246171300000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,333847400000.0,313781300000.0,287045000000.0,246171300000.0,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurobindo Pharma Limited | Balance Sheet (As Reported),,,,,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSEI: AUROPHARMA (MI KEY: 4810875; SPCIQ KEY: 1514127),,,,,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Years,,,,,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,,,,,,Aurobindo Pharma,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY,2026 FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,,,,,,Aurobindo Pharma,2014-03-31 00:00:00,2015-04-01 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency,,,,,,Aurobindo Pharma,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,Aurobindo Pharma,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Assets,,,,,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Cash Equivalents,,,,,,Aurobindo Pharma,1785.8,4410.8,7904.1,4894.4,12140,18837,27637.1,53734.7,41625.1,43962.9,33934.8,55689.5,71914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank Balances Other Than Cash and Cash Equivalents,,,,,,Aurobindo Pharma,,,,,,,,,,,,,26788.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,Aurobindo Pharma,,,,,,,,,,1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank Balances Other Than Above,,,,,,Aurobindo Pharma,,80.1,98.5,240.4,482.5,734.8,784.4,1008.1,275,16879.1,28848.2,26665.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,Aurobindo Pharma,0.3,196.4,0.2,0.2,0.2,0.2,0.2,1597.9,3788.5,1510,505.8,0.1,7472.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Receivables,,,,,,Aurobindo Pharma,26365.7,35371.5,46066.8,27653.3,30802,34137.8,43151.6,35032.8,40122.6,44663.8,48167.4,57459.3,70943.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Current Tax Assets, Net",,,,,,Aurobindo Pharma,,,42.5,,645.5,38.4,157.6,789.8,2699.9,756.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances,,,,,,Aurobindo Pharma,3771.9,83.6,103.1,108.9,86.6,102.6,136.8,143.2,127.1,124.3,128.6,155.6,178.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Accrued on Deposits,,,,,,Aurobindo Pharma,,69.7,,175.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,,,,,,Aurobindo Pharma,23675.4,35996.6,40561.4,43305.4,58584.1,72456,76998.7,90265.7,75538.5,85112.3,98082.3,105437.2,120529.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances,,,,,,Aurobindo Pharma,,,103.1,,86.6,102.6,136.8,143.2,127.1,124.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Held for Sale,,,,,,Aurobindo Pharma,,,,,,,,836.1,791,857.6,4337.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,,,,,,Aurobindo Pharma,,,40561.4,43305.4,58584.1,72456,76998.7,90265.7,75538.5,85112.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Held for Sale,,,,,,Aurobindo Pharma,,83.6,,108.9,,,,836.1,791,857.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,,,,,,Aurobindo Pharma,712.7,6095.8,7675.1,8107.6,11098.7,13381.6,14857.9,14488.1,15550.1,18687,25364.3,23570.2,28034.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Financial Assets,,,,,,Aurobindo Pharma,,1489.2,491.8,7576.5,7942,13634.6,400.8,338.7,709.1,2903.5,2631.1,2619.5,1009.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Current Tax Assets, Net",,,,,,Aurobindo Pharma,,69.7,42.5,175.1,645.5,38.4,157.6,789.8,2699.9,756.2,56.7,27.8,216.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right of Use Assets,,,,,,Aurobindo Pharma,23675.4,35996.6,,43305.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Property, Plant and Equipment",,,,,,Aurobindo Pharma,712.7,6095.8,,8107.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Assets,,,,,,Aurobindo Pharma,56311.8,83793.7,102943.5,92061.8,121781.6,153323,164125.1,,,,,,327087.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets Gross Block,,,,,,Aurobindo Pharma,,,,92061.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments Accounted for Using the Equity Method,,,,,,Aurobindo Pharma,56311.8,83793.7,,92061.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noncurrent Assets,,,,,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right of Use Assets,,,,,,Aurobindo Pharma,,,,,,,,4134.5,5080.1,4520.1,2846.8,2944.1,3747.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Property, Plant and Equipment",,,,,,Aurobindo Pharma,25120.2,28623.5,33803.9,40830.5,47365.6,56936.5,64948.1,64731.7,72204.3,75433.7,112608.3,118950.2,139552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Work in Progress,,,,,,Aurobindo Pharma,2947.8,3362.8,8359,12373.6,13995.4,13419.4,16218,24288.9,29375.6,44964,27393.9,32660,30088.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments Accounted for Using the Equity Method,,,,,,Aurobindo Pharma,,,,,2307.9,2475.6,4096.1,947,793.5,900,947.8,455.4,1088.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-current Investments,,,,,,Aurobindo Pharma,,,1229.4,12373.6,807.3,1126.4,1450.8,3365.2,5389.5,3017.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred Tax Asset-net,,,,,,Aurobindo Pharma,,,2062.8,,1588,1832.9,1632,4526.8,2885.9,6774.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-current Investments,,,,,,Aurobindo Pharma,197.6,643.7,1229.4,2458.5,807.3,1126.4,1450.8,3365.2,5389.5,3017.4,2268.7,2061.6,1950.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Receivables,,,,,,Aurobindo Pharma,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred Tax Asset-net,,,,,,Aurobindo Pharma,0.5,2305.2,2062.8,1677.6,1588,1832.9,1632,4526.8,2885.9,6774.9,12126.4,12929.6,14835.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Receivables,,,,,,Aurobindo Pharma,,,,,,11.9,,,,,,1083.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances,,,,,,Aurobindo Pharma,,,54.5,,54.4,64.6,58.4,72.6,63.2,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill,,,,,,Aurobindo Pharma,,,4063,1677.6,8165.5,8325.1,9159.4,4289,4754.2,5960.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances,,,,,,Aurobindo Pharma,7890.4,55.3,54.5,57,54.4,64.6,58.4,72.6,63.2,55.7,58.3,67.4,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill,,,,,,Aurobindo Pharma,,3884.6,4063,4063,8165.5,8325.1,9159.4,4289,4754.2,5960.7,5951.5,6180.2,8001.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intangible Assets,,,,,,Aurobindo Pharma,2096.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,,,,,Aurobindo Pharma,2947.8,3362.8,3930,12373.6,9675.7,19486.9,19857.2,20580.6,23282.3,24322.4,23521.3,19867.4,22765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intangible Assets Under Development,,,,,,Aurobindo Pharma,149.4,124.5,122.4,4063,1835,3265.2,3641.2,6326.4,8096.4,8936.1,11293.3,16339.6,22047.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Non-current Assets,,,,,,Aurobindo Pharma,184,1282.7,1650.2,1989.2,1739.8,1679.2,2075.5,4326.5,1586.4,4169.3,2299.6,2938.5,3758.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Financial Assets,,,,,,Aurobindo Pharma,,386,535.5,2207.2,868.3,908.6,1170.3,1433,1289.2,1503.7,3510,5377.1,5499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Current Tax Assets Net,,,,,,Aurobindo Pharma,197.6,643.7,447.8,2458.5,825.9,1688.3,845.3,1282.6,3189.7,2885.2,3832.9,4370.8,4524.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Payables,,,,,,Aurobindo Pharma,0.5,2305.2,,1677.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,Aurobindo Pharma,,439.4,,579.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lease Liabilities,,,,,,Aurobindo Pharma,7890.4,55.3,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Current Tax Liabilities, Net",,,,,,Aurobindo Pharma,,3884.6,,4063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provisions,,,,,,Aurobindo Pharma,2096.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Financial Liabilities,,,,,,Aurobindo Pharma,,3222.7,,3444.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Liabilities,,,,,,Aurobindo Pharma,149.4,124.5,,2207.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secured Loan,,,,,,Aurobindo Pharma,184,1282.7,,1989.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lease Liabilities,,,,,,Aurobindo Pharma,,386,,751.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,,,,,Aurobindo Pharma,94898.2,128124.1,159202,162494.2,211010.4,264543.6,289277.4,338539.9,339217.2,398899.9,450715.1,497849.7,585021.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Payables - Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,Aurobindo Pharma,,,,162494.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity Share Warrants,,,,,,Aurobindo Pharma,94898.2,128124.1,,162494.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Liabilities,,,,,,Aurobindo Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Payables,,,,,,Aurobindo Pharma,13512,20391.7,24570.3,21547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Payables Total Outstanding Dues of Micro Enterprises and Small Enterprises,,,,,,Aurobindo Pharma,,,,,308.3,336.1,427.8,176.9,384.7,622.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Outstanding Dues of Micro\ Enterprises and Small Enterprises,,,,,,Aurobindo Pharma,,,,,,,,,,,,,1918.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
