company,period_label,period_type,period_end,statement,line_item,value,value_period,currency,units,scope,source,source_url,report_date,page,original_file,sha256,direct_derived,notes
Formycon AG,H1_2024,H1,2024-06-30,Income Statement,Administrative Expenses,-9298.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Condensed Interim Statement of Comprehensive Income (notes 9 [units normalized to thousand EUR]
Formycon AG,H1_2024,H1,2024-06-30,Income Statement,Cost of Sales,-24985.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Condensed Interim Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,H1_2024,H1,2024-06-30,Income Statement,Net Income / Comprehensive Income,-10094.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Condensed Interim Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,H1_2024,H1,2024-06-30,Income Statement,Operating Profit/Loss (EBIT),-17983.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Condensed Interim Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,H1_2024,H1,2024-06-30,Income Statement,Other Expenses,-314.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Condensed Interim Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,H1_2024,H1,2024-06-30,Income Statement,Other Income,14.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Condensed Interim Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,H1_2024,H1,2024-06-30,Income Statement,R&D Expenses,-9692.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Condensed Interim Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,Q2_2024,Q2,2024-06-30,Income Statement,Revenue,9193.0,Q2,EUR,thousand,consolidated,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,derived,Q2 = H1_2024 - Q1_2024; units converted to thousand EUR
Formycon AG,H1_2024,H1,2024-06-30,Income Statement,Revenue,26893.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Condensed Interim Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,H1_2024,H1,2024-06-30,Income Statement,Selling Expenses,-593.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Condensed Interim Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,9M_2024,9M,2024-09-30,Income Statement,Adjusted EBITDA,2900.0,9M,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-11-28,10,Formycon_9M_2024_Presentation.pdf,4d04b28d4b500f4da60ff6dc5df7564d499cddcb1857cd9e06b1fcc6a44b463b,direct,9M 2024 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,9M_2024,9M,2024-09-30,Income Statement,EBITDA,-17700.0,9M,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-11-28,10,Formycon_9M_2024_Presentation.pdf,4d04b28d4b500f4da60ff6dc5df7564d499cddcb1857cd9e06b1fcc6a44b463b,direct,9M 2024 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q3_2024,Q3,2024-09-30,Income Statement,Revenue,14207.0,Q3,EUR,thousand,group_presentation,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2024-11-28,10,Formycon_9M_2024_Presentation.pdf,4d04b28d4b500f4da60ff6dc5df7564d499cddcb1857cd9e06b1fcc6a44b463b,derived,Q3 = 9M_2024 - H1_2024; units converted to thousand EUR
Formycon AG,9M_2024,9M,2024-09-30,Income Statement,Revenue,41100.0,9M,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-11-28,10,Formycon_9M_2024_Presentation.pdf,4d04b28d4b500f4da60ff6dc5df7564d499cddcb1857cd9e06b1fcc6a44b463b,direct,9M 2024 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,FY2024_HGB,FY,2024-12-31,Income Statement,Net Income / Comprehensive Income,-129019.0,FY,EUR,thousand,parent_HGB,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-04-30,4,Formycon_FY2024_FinancialStatements_HGB.pdf,2953121a5a0caca06bc9d5de57c3a47d04210459b896df2c7a8b78bd60302187,direct,Annual financial statements Formycon AG (HGB parent-only) [units normalized to thousand EUR]
Formycon AG,FY2024_consol,FY,2024-12-31,Income Statement,Net Income / Comprehensive Income,-125672.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Prior-year column in FY2025 Consolidated Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,Q4_2024,Q4,2024-12-31,Income Statement,Revenue,28574.0,Q4,EUR,thousand,consolidated,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,derived,Q4 = FY2024_consol - 9M_2024; units converted to thousand EUR
Formycon AG,FY2024_HGB,FY,2024-12-31,Income Statement,Revenue,33906.0,FY,EUR,thousand,parent_HGB,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-04-30,4,Formycon_FY2024_FinancialStatements_HGB.pdf,2953121a5a0caca06bc9d5de57c3a47d04210459b896df2c7a8b78bd60302187,direct,Annual financial statements Formycon AG (HGB parent-only) [units normalized to thousand EUR]
Formycon AG,FY2024_consol,FY,2024-12-31,Income Statement,Revenue,69674.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Prior-year column in FY2025 Consolidated Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,Q1_2025,Q1,2025-03-31,Income Statement,Adjusted EBITDA,-11800.0,Q1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-05-12,5,Formycon_Q1_2025_EarningsCall.pdf,60f9095033213ae41236346f0494af025526af53d4c5786c5476b667d8540384,direct,Q1/2025 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q1_2025,Q1,2025-03-31,Income Statement,EBITDA,-13200.0,Q1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-05-12,5,Formycon_Q1_2025_EarningsCall.pdf,60f9095033213ae41236346f0494af025526af53d4c5786c5476b667d8540384,direct,Q1/2025 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q1_2025,Q1,2025-03-31,Income Statement,Revenue,5300.0,Q1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-05-12,5,Formycon_Q1_2025_EarningsCall.pdf,60f9095033213ae41236346f0494af025526af53d4c5786c5476b667d8540384,direct,Q1/2025 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q2_2025,Q2,2025-06-30,Income Statement,Adjusted EBITDA,-7400.0,Q2,EUR,thousand,group_presentation,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2025-08-13,8,Formycon_H1_2025_Report.pdf,5ad323a7a059995ae9570b557e73cd41fb37249a01fc343edff77e380bffe536,derived,Q2 = H1_2025 - Q1_2025; units converted to thousand EUR
Formycon AG,H1_2025,H1,2025-06-30,Income Statement,Adjusted EBITDA,-19200.0,H1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-08-13,8,Formycon_H1_2025_Report.pdf,5ad323a7a059995ae9570b557e73cd41fb37249a01fc343edff77e380bffe536,direct,H1/2025 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q2_2025,Q2,2025-06-30,Income Statement,EBITDA,-4700.0,Q2,EUR,thousand,group_presentation,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2025-08-13,8,Formycon_H1_2025_Report.pdf,5ad323a7a059995ae9570b557e73cd41fb37249a01fc343edff77e380bffe536,derived,Q2 = H1_2025 - Q1_2025; units converted to thousand EUR
Formycon AG,H1_2025,H1,2025-06-30,Income Statement,EBITDA,-17900.0,H1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-08-13,8,Formycon_H1_2025_Report.pdf,5ad323a7a059995ae9570b557e73cd41fb37249a01fc343edff77e380bffe536,direct,H1/2025 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q2_2025,Q2,2025-06-30,Income Statement,Revenue,3700.0,Q2,EUR,thousand,group_presentation,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2025-08-13,8,Formycon_H1_2025_Report.pdf,5ad323a7a059995ae9570b557e73cd41fb37249a01fc343edff77e380bffe536,derived,Q2 = H1_2025 - Q1_2025; units converted to thousand EUR
Formycon AG,H1_2025,H1,2025-06-30,Income Statement,Revenue,9000.0,H1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-08-13,8,Formycon_H1_2025_Report.pdf,5ad323a7a059995ae9570b557e73cd41fb37249a01fc343edff77e380bffe536,direct,H1/2025 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q3_2025,Q3,2025-09-30,Income Statement,Adjusted EBITDA,-2500.0,Q3,EUR,thousand,group_presentation,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2025-11-13,8,Formycon_9M_2025_Presentation.pdf,653f0b8d473500923994bd73c28278134872c84af811f91bc611a5552dea7b53,derived,Q3 = 9M_2025 - H1_2025; units converted to thousand EUR
Formycon AG,9M_2025,9M,2025-09-30,Income Statement,Adjusted EBITDA,-21700.0,9M,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-11-13,8,Formycon_9M_2025_Presentation.pdf,653f0b8d473500923994bd73c28278134872c84af811f91bc611a5552dea7b53,direct,9M 2025 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q3_2025,Q3,2025-09-30,Income Statement,EBITDA,-3500.0,Q3,EUR,thousand,group_presentation,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2025-11-13,8,Formycon_9M_2025_Presentation.pdf,653f0b8d473500923994bd73c28278134872c84af811f91bc611a5552dea7b53,derived,Q3 = 9M_2025 - H1_2025; units converted to thousand EUR
Formycon AG,9M_2025,9M,2025-09-30,Income Statement,EBITDA,-21400.0,9M,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-11-13,8,Formycon_9M_2025_Presentation.pdf,653f0b8d473500923994bd73c28278134872c84af811f91bc611a5552dea7b53,direct,9M 2025 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q3_2025,Q3,2025-09-30,Income Statement,Revenue,10500.0,Q3,EUR,thousand,group_presentation,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2025-11-13,8,Formycon_9M_2025_Presentation.pdf,653f0b8d473500923994bd73c28278134872c84af811f91bc611a5552dea7b53,derived,Q3 = 9M_2025 - H1_2025; units converted to thousand EUR
Formycon AG,9M_2025,9M,2025-09-30,Income Statement,Revenue,19500.0,9M,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-11-13,8,Formycon_9M_2025_Presentation.pdf,653f0b8d473500923994bd73c28278134872c84af811f91bc611a5552dea7b53,direct,9M 2025 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,FY2025,FY,2025-12-31,Income Statement,Administrative Expenses,-18995.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Consolidated Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,FY2025,FY,2025-12-31,Income Statement,Cost of Sales,-40900.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Consolidated Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,FY2025,FY,2025-12-31,Income Statement,Net Income / Comprehensive Income,-125672.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Consolidated Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,FY2025,FY,2025-12-31,Income Statement,Operating Profit/Loss (EBIT),-30500.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Consolidated Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,FY2025,FY,2025-12-31,Income Statement,Other Expenses,-1686.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Consolidated Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,FY2025,FY,2025-12-31,Income Statement,Other Income,593.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Consolidated Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,FY2025,FY,2025-12-31,Income Statement,R&D Expenses,-12673.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Consolidated Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,Q4_2025,Q4,2025-12-31,Income Statement,Revenue,24976.0,Q4,EUR,thousand,consolidated,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,derived,Q4 = FY2025 - 9M_2025; units converted to thousand EUR
Formycon AG,FY2025,FY,2025-12-31,Income Statement,Revenue,44476.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Consolidated Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,FY2025,FY,2025-12-31,Income Statement,Selling Expenses,-1316.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Consolidated Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,Q1_2026,Q1,2026-03-31,Income Statement,Adjusted EBITDA,-3600.0,Q1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-05-28,7,Formycon_Q1_2026_EarningsCall.pdf,019359d7fafeebfeb91c8e27fabe6fef0a0a8d7af3842511003b9af4d4a2d97d,direct,Q1/2026 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q1_2026,Q1,2026-03-31,Income Statement,EBITDA,-1700.0,Q1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-05-28,7,Formycon_Q1_2026_EarningsCall.pdf,019359d7fafeebfeb91c8e27fabe6fef0a0a8d7af3842511003b9af4d4a2d97d,direct,Q1/2026 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q1_2026,Q1,2026-03-31,Income Statement,Revenue,13100.0,Q1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-05-28,7,Formycon_Q1_2026_EarningsCall.pdf,019359d7fafeebfeb91c8e27fabe6fef0a0a8d7af3842511003b9af4d4a2d97d,direct,Q1/2026 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q2_2026,Q2,2026-06-30,Income Statement,Adjusted EBITDA,-3300.0,Q2,EUR,thousand,group_presentation,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2026-08-12,7,Formycon_H1_2026_EarningsCall.pdf,8fd1d01b27b4eb968b135050d112342103985717492c401d1900745c6ca0bcad,derived,Q2 = H1_2026 - Q1_2026; units converted to thousand EUR
Formycon AG,H1_2026,H1,2026-06-30,Income Statement,Adjusted EBITDA,-6900.0,H1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-08-12,7,Formycon_H1_2026_EarningsCall.pdf,8fd1d01b27b4eb968b135050d112342103985717492c401d1900745c6ca0bcad,direct,H1/2026 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q2_2026,Q2,2026-06-30,Income Statement,EBITDA,-1700.0,Q2,EUR,thousand,group_presentation,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2026-08-12,7,Formycon_H1_2026_EarningsCall.pdf,8fd1d01b27b4eb968b135050d112342103985717492c401d1900745c6ca0bcad,derived,Q2 = H1_2026 - Q1_2026; units converted to thousand EUR
Formycon AG,H1_2026,H1,2026-06-30,Income Statement,EBITDA,-3400.0,H1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-08-12,7,Formycon_H1_2026_EarningsCall.pdf,8fd1d01b27b4eb968b135050d112342103985717492c401d1900745c6ca0bcad,direct,H1/2026 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q2_2026,Q2,2026-06-30,Income Statement,Revenue,12700.0,Q2,EUR,thousand,group_presentation,Formycon IR (derived),https://www.formycon.com/en/investor-relations/publications/,2026-08-12,7,Formycon_H1_2026_EarningsCall.pdf,8fd1d01b27b4eb968b135050d112342103985717492c401d1900745c6ca0bcad,derived,Q2 = H1_2026 - Q1_2026; units converted to thousand EUR
Formycon AG,H1_2026,H1,2026-06-30,Income Statement,Revenue,25800.0,H1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-08-12,7,Formycon_H1_2026_EarningsCall.pdf,8fd1d01b27b4eb968b135050d112342103985717492c401d1900745c6ca0bcad,direct,H1/2026 Profit & Loss slide [units normalized to thousand EUR]
