unnamed,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31,company,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,unnamed_27,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33,unnamed_34,unnamed_35,unnamed_36,unnamed_37,unnamed_38,unnamed_39,unnamed_40,unnamed_41,unnamed_42,unnamed_43,unnamed_44,unnamed_45,unnamed_46,unnamed_47,unnamed_48,unnamed_49,unnamed_50
Investing Cash Flow,-723746025.81,-1214235446.65,-553055351.47,-531677580.31,-38539226.44,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Investment Purchase And Sale,-29781411.49,21444546.56,10326782.62,168785809.6,392272659.68,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale Of Investment,518588.51,21444546.56,10326782.62,168785809.6,414953071.18,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase Of Investment,-30300000.0,,,,-22680411.5,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net PPE Purchase And Sale,-693964614.32,-1235679993.21,-563382134.09,-700463389.91,-430811886.12,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale Of PPE,10854350.55,11763806.68,2150911.81,1568511.61,13718089.5,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase Of PPE,-704818964.87,-1247443799.89,-565533045.9,-702031901.52,-444529975.62,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flowsfromusedin Operating Activities Direct,786445900.71,2124947840.36,3745279162.89,555174088.51,2837307029.59,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxes Refund Paid Direct,-698501493.04,-948119918.74,-715654846.73,-652139252.4,-637858808.51,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classesof Cash Payments,-5439403951.1,-4788269347.1,-5360923492.56,-5094623197.38,-4446918843.33,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Cash Paymentsfrom Operating Activities,-2893460356.21,-2312957687.61,-3144276788.27,-2841684216.42,-2622553193.07,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paymentson Behalfof Employees,-2166754419.69,-1542451252.2,-1653060666.33,-1905586260.31,-1552687461.67,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paymentsto Suppliersfor Goodsand Services,-379189175.2,-932860407.29,-563586037.96,-347352720.65,-271678188.59,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classesof Cash Receiptsfrom Operating Activities,6924351344.85,7861337106.2,9821857502.18,6301936538.29,7922084681.43,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Cash Receiptsfrom Operating Activities,252626908.49,428722899.5,246001655.43,211428920.53,775417811.64,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receiptsfrom Customers,6671724436.36,7432614206.7,9575855846.75,6090507617.76,7146666869.79,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jiangsu Hengrui Pharmaceuticals Co.,Ltd - 江苏恒瑞医药股份有限公司 | Balance Sheet (As Reported)",,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SHSE: 600276, SEHK: 1276 (MI KEY: 4810483; SPCIQ KEY: 6153489)",,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Years,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,,,,,,Jiangsu Hengrui Pharma,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,,,,,,Jiangsu Hengrui Pharma,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency,,,,,,Jiangsu Hengrui Pharma,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,Jiangsu Hengrui Pharma,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spot Exchange Rate,,,,,,Jiangsu Hengrui Pharma,10.192679781,10.199460916,9.781231097,9.80911983,10.119662096,10.221445088,11.18549153,11.728678021999999,11.999101084000001,11.738876588,11.724678385,12.846948988000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Exchange Rate,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Assets,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Cash Equivalents,,,,,,Jiangsu Hengrui Pharma,35154645392.46157,52355053849.50277,48046920245.347,41856364292.401596,39362564092.70642,51553353334.145424,120855522780.44658,159871494449.32806,181314584371.5675,243535965609.80414,290958512669.62067,526152994042.6265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Assets Held for Trading,,,,,,Jiangsu Hengrui Pharma,,,,,,87084684487.8649,62951991982.186584,59703085574.98374,33123446193.802017,1162730900.071846,3204878512.4875865,1462511486.3538592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Receivables,,,,,,Jiangsu Hengrui Pharma,18303373114.45539,21340081728.472633,22737349527.677185,31277124143.747658,38178375919.58255,50148917471.9174,56751763691.85316,54333281299.93918,23365649230.6395,60977518868.28707,57625300670.50312,66117621070.60094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Receivables,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,70691472060.11986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Receivables,,,,,,Jiangsu Hengrui Pharma,,,,,,,34697727030.57069,13727015299.085852,,7214496901.213211,12835298308.415115,8102850540.217912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,,,,,,Jiangsu Hengrui Pharma,1065255222.7730894,889458585.322313,1822325722.6831646,2550456038.8222666,10260835902.99585,9141811966.477694,7283462301.202759,7717524078.197076,6745600060.972478,5144601871.130138,778673967.4409053,361904604.80421984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Receivables,,,,,,Jiangsu Hengrui Pharma,431956939.60799295,1097824704.9348457,1580851031.9335988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes Receivable,,,,,,Jiangsu Hengrui Pharma,10647923032.726435,12081438807.512182,10981485188.772182,9699260771.989367,6667542240.613246,5402613712.81418,,12679065489.97197,6033035266.242558,3824897499.5237174,1757205657.95217,1697394698.7050385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,,,,,,Jiangsu Hengrui Pharma,5615057241.167499,5333981643.8229475,6226626098.910251,7746433985.538375,10429057967.968891,16423878253.890385,19888443813.653545,28180182231.59418,29404694240.540432,27164065665.005257,28339936774.39766,36978818513.83907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,,,,,,Jiangsu Hengrui Pharma,,,15591399492.404772,45556222832.11588,72200696688.8191,2255985663.852762,5037010204.307703,6438483903.053557,7845784635.8186035,3921366342.1812615,5105344019.855678,7046541908.0877075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepayments,,,,,,Jiangsu Hengrui Pharma,2168046710.383326,2556312710.91972,4452778611.263452,3237690247.7706027,5757069515.903911,6042532137.632624,6287518327.892891,11412256325.562075,12656577163.316383,14334119172.22534,13451013504.920399,13573551463.477884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Assets,,,,,,Jiangsu Hengrui Pharma,73386257653.5753,95654152030.48741,111439735918.99162,141923552312.38574,182856142328.59,228053777028.59537,313753440132.1139,354062388651.7157,371180843223.01935,367279762829.442,414056164085.59326,661494188328.7131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noncurrent Assets,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction in Progress,,,,,,Jiangsu Hengrui Pharma,2634423304.533951,3530869919.2692885,7796139634.47633,10601980532.47608,13734937740.099007,15667703878.666288,14597796121.451887,19458133160.66338,14317309385.379377,12924441081.429623,19785699111.8126,25775800266.825165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right of Use Assets,,,,,,Jiangsu Hengrui Pharma,,,,,,,,1802819617.4694014,1192487351.4379056,904119941.7314364,1274044609.8548944,912366479.1000348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,Jiangsu Hengrui Pharma,13920309731.88532,14524214633.229275,16402055422.474234,19597989577.755188,23566320921.987995,25982638356.34633,36690354727.994934,52343569958.85962,64593062031.32584,63993932170.40872,60170740135.409294,74901966013.26068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term Equity Investments,,,,,,Jiangsu Hengrui Pharma,,,,,10119662.096,613286705.28,671129491.8,2261595498.230596,9213647977.555346,8158409530.971282,7812784066.556917,7160645235.468051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Held to Maturity Investments,,,,,,Jiangsu Hengrui Pharma,39751675.48678198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial assets available for sale,,,,,,Jiangsu Hengrui Pharma,13647998.226759002,804999714.8114722,792625496.5268823,1152831830.1973138,1565002216.1405697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred Income Tax Asset,,,,,,Jiangsu Hengrui Pharma,587800188.6602085,748377343.381689,904900027.4925025,878226936.1105464,1133462861.8965378,675541249.3295952,592456810.1581818,1657997680.4683776,2866554433.8361244,3762969211.9760046,4422251215.316823,10032913418.09965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intangible Assets,,,,,,Jiangsu Hengrui Pharma,2037272655.3883638,1997532767.493588,2784869874.170104,2739250314.953267,2759453941.216643,3575068092.7902164,3817080902.9718556,5189402773.05131,6238273295.818403,10374431010.575933,13979418590.953674,25134890087.70046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Development Expenses,,,,,,Jiangsu Hengrui Pharma,,,,,,,,3049248946.853647,20170895168.32996,29259728162.62877,44994144370.57533,62666013131.072075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term Deferred and Prepaid Expenses,,,,,,Jiangsu Hengrui Pharma,,,45289158.14575743,56655428.09195069,662648016.2540852,1585254055.7138715,2210613686.061418,3628778856.2864285,4453281992.619083,3944455574.815328,3220098424.779962,2726374448.0390267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Non-current Assets,,,,,,Jiangsu Hengrui Pharma,,,,,,,,7611837397.903236,5310203732.60824,4499486472.549794,5617372562.867407,7858326829.349284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Non-current Financial Assets,,,,,,Jiangsu Hengrui Pharma,,,,,,5513731729.042509,16134661966.86351,9475098919.909742,8875864325.31174,8879183877.124807,12491599641.287863,18918357436.09802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,,,,,Jiangsu Hengrui Pharma,92619463207.7567,117260146408.67271,140165615532.27744,176950486931.9701,226288087688.2808,281667001095.7642,388467533839.4157,460540871461.41144,508412422917.24133,513980919863.65375,587824316815.008,897581841673.7257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Liabilities,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes Payable,,,,,,Jiangsu Hengrui Pharma,233659864.8199279,143686751.04261354,,,211151019.72565806,,1191121466.6631055,5461308337.7373295,3366684361.3432965,2816279415.3465595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,,,,,,Jiangsu Hengrui Pharma,4040475301.946159,5016805508.18106,7385203490.308754,,13977369890.606287,13177965248.831234,14834717867.629118,20960790976.250793,17842309963.69918,14913287896.762077,23065480730.521305,29168464912.4809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes Payable and Accounts Payable,,,,,,Jiangsu Hengrui Pharma,,,,7196888723.406739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Remuneration Payable,,,,,,Jiangsu Hengrui Pharma,210842.8180726295,262429.2735196235,930706.440086451,1126878.6505454795,417813.6260528018,6562444.441014531,4145530.629856043,555386408.1314772,131034551.27009258,62966028.77234418,57701883.440783545,84071368.6645414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short-term Borrowings,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,15130188205.376154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxes Payable,,,,,,Jiangsu Hengrui Pharma,1674443489.4250178,2275667859.8032584,2998358171.693393,4985556757.916162,1336042556.870314,2300675116.5279474,1965974899.1463158,1951167265.807767,1430068288.1958513,2570453914.1928525,5006368021.350016,10350537601.324015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Liabilities,,,,,,Jiangsu Hengrui Pharma,,,,,,,4005069986.1674147,2575083562.479584,2244737518.1835647,2325359975.4847245,1873526781.0231035,24570473605.870617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liabilities,,,,,,Jiangsu Hengrui Pharma,,,,,,,91636198.21226767,176564843.11093667,136522939.26597708,143658560.37528646,41231024.76137175,45535646.73390117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Payables,,,,,,Jiangsu Hengrui Pharma,2488373290.2577257,2046141467.257303,1480230116.9433224,5863602097.006566,7448540637.40452,7513006737.532167,20094456353.7315,8215177545.40582,3385818051.61756,7145077691.74389,12076244537.140896,17208882798.2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Non-Current Liabilities,,,,,,Jiangsu Hengrui Pharma,,102300592.98748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance Receipts,,,,,,Jiangsu Hengrui Pharma,232646414.7215201,1156784318.4296489,1485436517.7771676,2065432049.7902713,2261212916.3873034,2275690522.865554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-current Liabilities Due Within One Year,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,482188251.1799317,397300572.3562042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Liabilities,,,,,,Jiangsu Hengrui Pharma,8669809203.988422,10741648926.974884,13350159003.162724,20112606506.770283,25234734834.620136,25273900070.197918,42187122302.17957,39895478938.923706,43667363878.951675,29977083482.677734,42602741229.417404,81825266505.70958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noncurrent Liabilities,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term Borrowings,,,,,,Jiangsu Hengrui Pharma,101926797.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lease Liabilities,,,,,,Jiangsu Hengrui Pharma,,,,,,,,1777937255.7809894,1186238597.5650425,882486368.2977978,809426510.1853591,556367975.047006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred Income,,,,,,Jiangsu Hengrui Pharma,738487476.1492522,874874365.2451015,888054678.9109036,448975729.08622575,706929235.040272,1249265018.65536,1579819407.138018,1366625563.1234398,1433172633.4729602,457229243.1026,2645679151.827588,4835909629.0310135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred Income Tax Liabilities,,,,,,Jiangsu Hengrui Pharma,,,,,,246266731.01682,332842712.35348296,290547863.61989486,1205274643.954325,981783010.0666033,1373103391.507515,1502619054.0760555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest,,,,,,Jiangsu Hengrui Pharma,3623355261.6432548,4349058585.957709,4757962198.338678,5644103469.7525215,703924006.3749763,1657950155.9031384,3162122651.6618724,6671818890.464211,7071644973.907007,6659360008.583869,6687626090.190364,6741497797.885008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Non-current Liabilities,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,14961040486.548147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders' Equity,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Stock - Par Value,,,,,,Jiangsu Hengrui Pharma,15340144237.057697,19955236163.83594,22961045562.28228,27785784040.956394,37299678549.307495,45207552449.06231,59637875802.462166,75016764364.18195,76542293100.79187,74882320449.05736,74791750079.83365,85267768204.43803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Paid in Capital,,,,,,Jiangsu Hengrui Pharma,5173375961.552398,4284408784.60504,4285991173.8864446,9680797622.59709,14964458993.468536,16998005114.182568,35154058426.67143,39363607867.67332,36240143387.6836,35893246520.31116,37379126149.60074,166170355763.09964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock - Common,,,,,,Jiangsu Hengrui Pharma,-1386831045.205537,-895818937.8371856,-424779304.080516,-5183858113.028816,-6416062311.72687,-4291406645.847559,-16723346479.063448,-7798810596.534579,-4775976472.992201,-12817101408.086975,-14405226519.065876,-24782737611.63671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus Reserves,,,,,,Jiangsu Hengrui Pharma,7986107128.272026,10088433670.47446,12176120036.14931,15022811870.91753,21172526565.271317,26118273051.581383,30037665524.98067,35828094473.808876,39583978693.810234,38725520978.25629,38678682355.83716,44039480026.29534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retained Profit/(un Recovered Loss),,,,,,Jiangsu Hengrui Pharma,52395960666.73702,67877610594.86236,82175055420.71597,103435985996.02713,132719503145.79997,169140440400.19238,233152988689.13,268271420415.08044,306219551428.3288,338112166119.12103,397062435966.65405,516105040152.52496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Comprehensive Income,,,,,,Jiangsu Hengrui Pharma,-22872480.247848105,-15305745.445590012,-3993237.0883796006,3279808.8917246526,-97605329.87501967,66754750.81986421,-53615198.09809942,-142613574.71082422,38738051.7680615,226825092.26628286,198972409.02005768,359233690.70754725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Shareholders Equity,,,,,,Jiangsu Hengrui Pharma,79485884468.16576,101294564530.49503,121169439651.86511,150744801226.36105,199642499612.24542,253239619119.99094,341205626766.0827,410538462949.4992,453848728189.3904,475022977750.9251,533705740441.8798,787159140225.4288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities & Shareholders Equity,,,,,,Jiangsu Hengrui Pharma,92619463207.7567,117260146408.67271,140165615532.27744,176950486931.9701,226288087688.2808,281667001095.7642,388467533839.4157,460540871461.41144,508412422917.24133,513980919863.65375,587824316815.008,897581841673.7257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jiangsu Hengrui Pharmaceuticals Co.,Ltd - 江苏恒瑞医药股份有限公司 | Cash Flow (As Reported)",,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Activities,,,,,,Jiangsu Hengrui Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,,,,,,Jiangsu Hengrui Pharma,16032362873.942575,22683292970.542717,25765668059.57045,32300973553.138054,41097812726.00282,54444034302.298225,70568070654.74905,52591707563.60693,45778269463.63182,50216809292.23896,74299224169.75569,99139934191.81711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
